ShopName,Quantity,CustomerName,Product,CustomerAddress
Shop1,415,"Johnson, Erico & Co CPA's","Product 29",
Shop1,231,"Gordon & Son Brockerage Ltd.","Product 47","1912 Old Briar Lane #2, KY"
Shop1,790,"Acme Chemical Supply","Product 34","201-C Frontage Rd., VT"
Shop1,783,"Truck-X Muffler Repair","Product 45","465 Stratford Rd., CA"
Shop1,972,"Lee Stairworks and Carpentry,","Product 47",
Shop1,884,"Lambert & Locke Legal Services","Product 45","1077 Court Ave., AR"
Shop1,730,"Gourmet the Frog","Product 44","970 Vilas Circle, CA"
Shop1,692,"Elm Place Business Supplies","Product 48","1839 McCraren Rd., CO"
Shop1,404,"Truck-X Muffler Repair","Product 3","465 Stratford Rd., CA"
Shop1,230,"George Lee Antiques","Product 23","244 Briar Ln, CT"
Shop1,834,"DBN Bank","Product 4","2936 Arlington Ave., ME"
Shop1,668,"Pivot Point College","Product 20","1077 Court Ave., DC"
Shop1,366,"Cradle the Call","Product 30","42 Valley Rd., PA"
Shop1,409,"Johnson, Erico & Co CPA's","Product 31",
Shop1,843,"Shaggy's Grooming Services","Product 50","334 Lynn Terrace, OR"
Shop1,993,"Mergenthaler Inc.","Product 41","1859 Green Bay Rd., VT"
Shop1,364,"Bill's Dive Shop","Product 25","1954 First St., AZ"
Shop1,718,"Parties Galore Golf Course","Product 41","629 Kincaid Ave., CT"
Shop1,763,"Resnick DDS","Product 17","917 Fairview Ave.  Apt. 982, GA"
Shop1,668,"Metro Appliance Service","Product 35","1245 Eastwood, CA"
Shop1,319,"Nyman Interior Design","Product 22","115 Judson Rd., OR"
Shop1,519,"Car Suite Cleaners","Product 48","218 Oakridge Ave., ID"
Shop1,806,"Terrinni & Son Auto and Truck","Product 17","899 Harvard Ct, TX"
Shop1,810,"Rythmics Ltd.","Product 37","1839 McCraren Rd., IL"
Shop1,304,"Childress Child Day Care","Product 46","367Bluebird Terr., WV"
Shop1,354,"Mail Boxes Et. Al.","Product 48","2112 Ravine Drive, WY"
Shop1,466,"Eva Galler Galleries Inc.","Product 39","505 N. Frances St., NH"
Shop1,691,"North West Gas Co.","Product 6","3148 cottonwood Ct., AK"
Shop1,500,"Bee Line Publishing","Product 16","3344 Beachwood Ln., AK"
Shop1,564,"Childress Child Day Care","Product 30","367Bluebird Terr., WV"
Shop1,380,"Parkway Auto Body","Product 17","1831 Beverly Place #9D, AK"
Shop1,182,"Trapezoid Studios","Product 15","3150 Skokie Valley Rd., KS"
Shop1,968,"Nyman Interior Design","Product 38","115 Judson Rd., OR"
Shop1,290,"Elm Place Business Supplies","Product 18","1839 McCraren Rd., CO"
Shop1,680,"Crossroads Construction, Inc.","Product 3",
Shop1,751,"Glassman & Stone","Product 32","669 Kikaid, SD"
Shop1,857,"Truck-X Muffler Repair","Product 11","465 Stratford Rd., CA"
Shop1,190,"Rythmics Ltd.","Product 47","1839 McCraren Rd., IL"
Shop1,511,"Cutter Lawn Mower Repair","Product 30","965 Marion Place Apt. 65C, MT"
Shop1,108,"BBQ Smith's Tex Mex","Product 30","1155 Ridgewood Drive, FL"
Shop1,545,"Cotton Thumb Ltd.","Product 39","4259 W. Lake Ave., VA"
Shop1,744,"Cotton Thumb Ltd.","Product 19","4259 W. Lake Ave., VA"
Shop1,335,"Hibbard Road Suppliers","Product 30","1575 Oakwood Ave., WI"
Shop1,110,"Deer Lake Inn","Product 43","3901 Chester Ave. Apt. 3C, WY"
Shop1,352,"Bako Delicatessen","Product 40","618 Sheriden rd., UT"
Shop1,784,"Gordon & Son Brockerage Ltd.","Product 19","1912 Old Briar Lane #2, KY"
Shop1,658,"Arthur M. Feildberg Galleries","Product 8","1752 Clinton Ave., CO"
Shop1,513,"Truck-X Muffler Repair","Product 12","465 Stratford Rd., CA"
Shop1,118,"janice Mann Accounting Service","Product 3","965 Marion Place Apt. 65C, NH"
Shop1,960,"Parties Galore Golf Course","Product 19","629 Kincaid Ave., CT"
Shop1,535,"Childress Child Day Care","Product 28","367Bluebird Terr., WV"
Shop1,414,"Got It All Electronics Supply","Product 19","550 Sheridan, NV"
Shop1,718,"Doerner's Awnings and Canopies","Product 15","1795 Lake Cook Rd., AR"
Shop1,900,"Kermit the Pet Shop","Product 22","1077 Court Ave., MN"
Shop1,556,"Smith & Wesson Militia","Product 2","1270 Linden Ave., IN"
Shop1,48,"Yale Remins Temp Agency","Product 27","2922 Twin Oaks Drive, TX"
Shop1,413,"Childress Child Day Care","Product 50","367Bluebird Terr., WV"
