Shopname,CustID,ProductID,Quantity
Shop1,100,29,415
Shop1,2,52,428
Shop1,17,69,668
Shop1,73,47,231
Shop1,29,34,790
Shop1,30,36,886
Shop1,10,59,850
Shop1,88,45,783
Shop1,34,75,170
Shop1,57,47,972
Shop1,74,51,593
Shop1,58,45,884
Shop1,42,58,517
Shop1,17,44,730
Shop1,81,75,231
Shop1,16,55,631
Shop1,40,48,692
Shop1,88,3,404
Shop1,48,23,230
Shop1,61,4,834
Shop1,63,20,668
Shop1,25,60,3
Shop1,60,63,296
Shop1,79,74,973
Shop1,30,52,423
Shop1,31,24,328
Shop1,87,30,366
Shop1,49,31,409
Shop1,30,54,611
Shop1,85,50,843
Shop1,35,62,182
Shop1,39,41,993
Shop1,2,25,364
Shop1,17,53,707
Shop1,41,41,718
Shop1,99,67,73
Shop1,68,17,763
Shop1,65,60,276
Shop1,43,35,668
Shop1,35,22,319
Shop1,63,53,460
Shop1,30,78,496
Shop1,94,48,519
Shop1,90,58,794
Shop1,5,17,806
Shop1,20,37,810
Shop1,9,46,304
Shop1,65,48,354
Shop1,84,39,466
Shop1,69,56,479
Shop1,9,78,156
Shop1,49,65,633
Shop1,39,65,58
Shop1,1,60,606
Shop1,26,78,53
Shop1,72,77,707
Shop1,93,6,691
Shop1,59,63,636
Shop1,73,60,825
Shop1,31,24,898
Shop1,51,53,491
Shop1,67,71,665
Shop1,74,16,500
Shop1,31,69,216
Shop1,63,60,243
Shop1,3,30,564
Shop1,21,17,380
Shop1,12,51,466
Shop1,50,15,182
Shop1,24,79,685
Shop1,98,38,968
Shop1,40,18,290
Shop1,53,3,680
Shop1,81,32,751
Shop1,88,11,857
Shop1,28,71,135
Shop1,20,47,190
Shop1,95,30,511
Shop1,62,30,108
Shop1,32,39,545
Shop1,8,60,183
Shop1,32,19,744
Shop1,27,30,335
Shop1,89,43,110
Shop1,70,67,131
Shop1,86,40,352
Shop1,73,19,784
Shop1,82,63,977
Shop1,31,8,658
Shop1,88,12,513
Shop1,70,3,118
Shop1,33,63,974
Shop1,41,19,960
Shop1,2,72,166
Shop1,34,24,340
Shop1,66,24,135
Shop1,72,80,388
Shop1,33,28,535
Shop1,36,19,414
Shop1,26,64,757
Shop1,96,15,718
Shop1,26,22,900
Shop1,66,2,556
Shop1,97,27,48
Shop1,8,69,133
Shop1,3,50,413
Shop1,16,6,964
Shop1,14,45,952
Shop1,14,44,264
Shop1,79,65,492
Shop1,13,7,880
Shop1,55,70,855
Shop1,6,53,805
Shop1,69,76,56
Shop1,77,35,334
Shop1,66,14,581
Shop1,51,31,244
Shop1,12,18,809
Shop1,15,79,761
Shop1,65,50,404
Shop1,91,16,108
Shop1,50,51,721
Shop1,67,52,802
Shop1,85,56,685
Shop1,48,18,816
Shop1,92,17,928
Shop1,24,30,141
Shop1,8,67,269
Shop1,58,53,792
Shop1,56,70,460
Shop1,23,24,44
